Class,Skill Name,Skill Description,Rune 1 Name,Rune 1 Description,Rune 2 Name,Rune 2 Description,Rune 3 Name,Rune 3 Description,Rune 4 Name,Rune 4 Description,Rune 5 Name,Rune 5 Description
Monk,Lashing Tail Kick,Cost: 50 Spirit - Unleash a deadly roundhouse kick that deals 755% weapon damage as Physical.,Vulture Claw Kick,Release a torrent of fire that burns enemies within 10 yards for 755% weapon damage as Fire and an additional 230% weapon damage as Fire over 3 seconds.,Sweeping Armada ,Unleash a large roundhouse kick that deals 825% weapon damage as Physical to enemies within 15 yards.,Spinning Flame Kick,"Hurl a column of fire that burns through enemies, causing 755% weapon damage as Fire to each enemy it strikes.",Scorpion Sting,Enemies hit are stunned for 2 seconds.Lashing Tail Kick's damage turns into Lightning.,Hand of Ytar,"Enemies are chilled at long range, Slowing them by 80% for 3 seconds.Lashing Tail Kick's damage turns into Cold."

Monk,Breath of Heaven,"Cooldown: 15 seconds - A blast of divine energy heals you and all allies within 12 yards for 69,735 - 91,192 Life. - Heal amount is increased by 30% of your Health Globe Healing Bonus.",Circle of Scorn,Breath of Heaven also sears enemies for 505% weapon damage as Holy. ,Circle of Life,"Increase the healing power of Breath of Heaven to 139,469 - 182,383 Life.Heal amount is increased by 30% of your Health Globe Healing Bonus.",Blazing Wrath,Breath of Heaven increases the damage of your attacks by 10% for 9 seconds.,Infused with Light,Gain 14 additional Spirit from Spirit generating attacks for 5 seconds after using Breath of Heaven.,Zephyr,Allies healed by Breath of Heaven have their movement speed increased by 30% for 3 seconds.

Monk,Dashing Strike,"Cost: 1 Charge - Quickly dash up to 50 yards, striking enemies along the way for 370% weapon damage as Physical. - You gain a charge every 8 seconds and can have up to 2 charges stored at a time.",Way of the Falling Star,Gain 20% increased movement speed for 4 seconds after using Dashing Strike.Dashing Strike's damage turns into Holy.,Blinding Speed,Gain 40% increased chance to Dodge for 4 seconds after using Dashing Strike.Dashing Strike's damage turns into Cold.,Quicksilver,Increases maximum charges to 3.Dashing Strike's damage turns into Lightning.,Radiance,Gain 15% increased attack speed for 4 seconds after using Dashing Strike.Dashing Strike's damage turns into Fire.,Barrage,"The last enemy you dash through is obliterated with a barrage of strikes, taking an additional 975% weapon damage as Physical over 2 seconds."

Monk,Cyclone Strike,"Cost: 50 Spirit - Pull up to 16 enemies within 24 yards towards you, followed by a furious blast of energy that deals 261% weapon damage as Holy. ",Eye of the Storm,Reduce the Spirit cost of Cyclone Strike to 26 Spirit.Cyclone Strike's damage turns into Lightning.,Implosion,Increase the distance enemies will be pulled towards you to 34 yards.,Sunburst,Blast enemies with an explosion that deals 454% weapon damage as Fire.,Wall of Wind,Enemies are Frozen for 1.5 seconds after being pulled in.Cyclone Strike's damage turns into Cold.,Soothing Breeze,"Cyclone Strike heals you and all allies within 24 yards for 31,036 Life.Heal amount is increased by 17% of your Health Globe Healing Bonus."

Monk,Mantra of Salvation,Cost: 50 Spirit - Active: You and nearby allies gain an additional 20% increased resistance to all elements for 3 seconds. - Passive: You and your allies within 60 yards gain 20% increased resistance to all elements. - Only one Mantra may be active at a time.,Hard Target,Passive: Mantra of Salvation also increases Armor by 20%.,Divine Protection,"Passive: Mantra of Salvation also protects you and your allies when reduced below 25% Life, granting a shield that reduces damage taken by 80% for 3 seconds.Each target may be protected by this effect once every 90 seconds.",Wind through the Reeds,Passive: Mantra of Salvation also increases movement speed by 10%.,Perseverance,Passive: Increases the resistance to all elements bonus to 40%.,Agility,Passive: Mantra of Salvation also increases Dodge Chance by 35%.

Monk,Mystic Ally,"Cooldown: 30 seconds - Active: Your mystic ally has its damage increased by 50% for 10 seconds. - Passive: A mystic ally fights by your side. The ally deals 130% of your weapon damage as Physical per swing. When the ally dies, it is reborn after 5 seconds.",Water Ally,"Active: Your mystic ally performs 7 wave attacks in quick succession, each dealing 625% weapon damage as Cold and Freezing enemies for 3 seconds.Passive: A mystic ally fights by your side that infuses your attacks to Slow enemies by 60% for 3 seconds.",Fire Ally,Active: Your mystic ally splits into 2 allies that explode for 1920% weapon damage as Fire.Passive: A mystic ally fights by your side that increases your damage by 10%.,Air Ally,Active: You gain 100 Spirit.Passive: A mystic ally fights by your side that increases your Spirit Regeneration by 4.,Enduring Ally,"Active: Your mystic ally sacrifices itself to heal you for 100% of your maximum Life. The cooldown on Mystic Ally is increased to 50 seconds.Passive: A mystic ally fights by your side that increases your Life per Second by 10,728. The heal amount is increased by 7% of your Life per Second.",Earth Ally,"Active: Your mystic ally turns into a boulder for 8 seconds. The boulder deals 4500% weapon damage as Physical every second and rolls toward nearby enemies, knocking them up.Passive: A mystic ally fights by your side that increases your Life by 20%."

Necromancer,Blood Rush,Cost: 5% Health - Cooldown: 5 seconds - Shed your mortal flesh and reappear up to 50 yards away.,Potency,Increases your armor by 100% for 2 seconds after casting.,Transfusion,Heals for 2% of your maximum health for every enemy passed through.,Molting,Leaves a corpse at your original location when used.,Hemostasis,Removes the health cost.,Metabolism,Provides an additional charge but doubles the health cost.

Necromancer,Skeletal Mage,Cost: 40 Essence - Raise a skeleton from the ground to attack your foes dealing 400% weapon damage as Physical over two attacks. Lasts 6 seconds.,Gift of Death,Risen mages leave a corpse behind when they die or expire.,Contamination,Raise a contaminated mage that channels an aura of decay for 100% weapon damage as Poison for its duration.,Skeleton Archer,Raise a Skeleton Archer that deals 400% weapon damage as Cold.Skeleton Archers increase your attack speed by 3% for 5 seconds each time they deal damage. Max 10 stacks.,Singularity,Consumes all Essence to summon a powerful minion. The minion's damage is increased by 3% for every point of Essence consumed.,Life Support,Risen mages cost 10% health to cast but last an additional 2 seconds.

Necromancer,Land of the Dead,Cooldown: 120 seconds - All corpse skills can be used at will for 10 seconds.,Frozen Lands,Enemies in the Land of the Dead are periodically frozen.,Plaguelands,"Enemies in Land of the Dead suffer 100% weapon damage as Poison each second, up to a maximum of 10,000% weapon damage total.",Shallow Graves,Every 10 enemies killed extends the duration by 1 second up to a maximum of 2 seconds.  ,Invigoration,Your skills do not cost resources while Land of the Dead is active.,Land of Plenty,You are healed for 2% of your maximum life whenever you kill an enemy while Land of the Dead is active.

Necromancer,Grim Scythe,Generate: 12 Essence per enemy hit - Slash with a summoned Scythe in front of you dealing 150% weapon damage as Physical.,Execution,Enemies below 20% health have a 5% chance to be decapitated and instantly killed.,Dual Scythes,Generate: 12 Essence per enemy hitSlash with two summoned Scythes in front of you dealing 150% weapon damage as Physical and push enemies together.,Cursed Scythe,Enemies hit by the scythe have a 15% chance to be inflicted with a random curse.Grim Scythe's damage turns into Poison.,Frost Scythe,Each enemy hit increases your attack speed by 1% for 5 seconds. Max 15 stacks.Grim Scythe's damage turns into Cold.,Blood Scythe,Heal for 1% of your health per enemy hit.

Necromancer,Devour,Consume corpses within 60 yards to restore 10 Essence per corpse.,Satiated,Increases maximum life by 2% for 2 seconds for each corpse devoured.,Ruthless,Additionally consumes your minions for 10 Essence per minion killed.,Devouring Aura,Becomes an aura that consumes all corpses within 15 yards to restore 11 Essence per corpse.The range of this effect is increased by 50% of your gold pickup radius.,Voracious,Reduces all essence costs by 2% for each corpse consumed for 5 seconds.,Cannibalize ,Each corpse consumed also restores 3% health.

Necromancer,Bone Spikes,Generate: 24 Essence - Summon bone spikes from the ground dealing 120% weapon damage as Physical.,Sudden Impact,Bone spikes stun enemies for 1 second.,Bone Pillars,Instead strikes the target and up to two nearby enemies with large bone pillars for 180% weapon damage per second as Poison.,Frost Spikes,Leaves a frost patch that reduces the movement speed of enemies by 60% for 2 secs.Bone Spikes' damage turns into Cold.,Path of Bones,Now unleashes a line of spikes that deals 100% weapon damage as Physical. Damage is increased by up to 100% for those further away.,Blood Spikes,Enemies hit bleed for 50% weapon damage as Physical over 2 seconds and heal you for 0.5% of your total life over the duration.

Necromancer,Decrepify,Cost: 10 Essence - A crippling curse that reduces the enemy units' movement speed by 75% and reduces damage of affected enemies by 30% for 30 seconds.,Dizzying Curse,Cursed enemies have a 10% chance to be stunned for 2 seconds when hit.,Enfeeblement,Increase the potency of the movement speed reduction to 100% and decaying to normal potency over 5 seconds.,Opportunist,"Gain a 3% movement speed increase for every enemy cursed, up to a maximum of 30%.",Wither,"Damage reduction increased to 40%, but no longer reduces movement speed.",Borrowed Time,"Gain 1% cooldown reduction for every enemy cursed, up to a maximum of 20%."

Necromancer,Simulacrum,Cost: 25% Health - Cooldown: 120 seconds - Create a Simulacrum made of blood that will duplicate your Secondary skills for 15 seconds.,Cursed Form,"While active, your curse skills now apply all three curses.",Reservoir,Your maximum essence is increased by 100% while your Simulacrum is active.,Self Sacrifice,"If you would die with a Simulacrum active, instead the Simulacrum is destroyed and you are fully healed.",Blood Debt,Life costs for skills are reduced by 75% while Simulacrum is active.,Blood and Bone,"Now also creates a Simulacrum of Bone, but the duration is reduced to 10 seconds."

Necromancer,Bone Armor,"Cooldown: 10 seconds - Rip bones from nearby enemies, dealing 125% weapon damage as Physical, and create armor that reduces damage taken by 3% per enemy hit up to a maximum of 10 enemies. Lasts for 60 secs.",Vengeful Armaments,Increases the damage dealt to 145% weapon damage.,Dislocation,Enemies hit are also stunned for 2 seconds.Bone Armor's damage is turned into Poison.,Limited Immunity,Cooldown: 45 secondsYour armor absorbs all incoming damage and grants immunity to all control impairing effects but only lasts for 5 seconds.,Harvest of Anguish,Bone Armor also increases your movement speed by 1% for each enemy hit.Bone Armor's damage is turned into Cold.,Thy Flesh Sustained,Cost: 20% HealthIncreases your Life per Second by 10% per target hit. 

Necromancer,Frailty,Cost: 10 Essence - A crippling curse that kills enemies with less than 15% health.  Lasts 30 seconds.,Scent of Blood,Cursed enemies take 15% increased damage from your minions.,Volatile Death,Cursed enemies explode for 100% weapon damage on death.,Aura of Frailty,Becomes an aura that curses all enemies within 15 yards.The range of this effect is increased by 50% of your gold pickup radius.,Harvest Essence,Gain 2 Essence when a cursed enemy dies.,Early Grave,Triggers at 18% life but costs 10% of your life.

Necromancer,Command Skeletons,Cost: 50 Essence - Active: Command your skeletal minions to attack the target and increase their damage against it by 50%. - Passive: Raise skeletons from the ground every 2 seconds to a max of 7 skeletons. Skeletal minions deal 50% weapon damage as Physical per attack.,Enforcer,Reduces the active Essence cost to 25.,Frenzy,"Commanded skeletons go into a frenzy, gaining 25% increased attack speed while they attack the target.",Dark Mending,Skeletal minions will heal you for 0.5% of your total health per hit while being commanded.,Freezing Grasp,The target of your command is frozen for 3 seconds.Command Skeletons' damage is turned to Cold.,Kill Command,"Now commands your skeletons to explode, dealing 215% weapon damage as Poison to enemies within 15 yards."

Necromancer,Death Nova,Cost: 20 Essence - Unleash a Nova that deals 350% weapon damage as Poison to all enemies within 25 yards.,Unstable Compound,Each cast increases the radius of your next Nova by 5 yards up to 2 times.,Tendril Nova,Now heals you for 1% of your health per target hit and reduces damage dealt to 225% weapon damage as Physical.,Blight,Leave a lingering patch of blight on the ground slowing enemies by 60% and causing them to deal 15% less damage for 1 second.,Bone Nova,Spines radiate outward and deal 475% weapon damage as Physical within 12 yards.,Blood Nova,Spend 10% health to unleash a Blood Nova that deals 450% weapon damage as Physical to all nearby enemies within 25 yards.

Necromancer,Revive,Target an area reviving up to 10 corpses within 20 yards for 15 seconds.,Personal Army,Damage taken is reduced by 1% for each revived minion active.,Horrific Return,"When you revive a corpse, enemies within 20 yards run in fear for 3 seconds. Damage dealt is turned into Poison.",Purgatory,Revived minions degenerate back into a usable corpse at the end of their duration.,Recklessness,Revived minions deal an additional 25% damage but last 10 seconds. Damage dealt is turned into Cold.,Oblation,Increases the damage of revived creatures by 20% but each Revive now costs 3% health.

Necromancer,Siphon Blood,Generate: 15 Essence each time damage is dealt - Siphon the blood from the targeted enemy dealing 150% weapon damage as Physical. - Siphon Blood heals you for 2% of your total health every second while channeled.,Blood Sucker,You pull in all health globes within 40 yards while siphoning.,Suppress,Enemies are also slowed by 75% while you siphon blood from them.Siphon Blood's damage turns into Cold.,Power Shift,Damage is increased by 10% each time damage is dealt. Max 10 stacks.Siphon Blood's damage turns into Poison.,Purity of Essence,Essence gained is increased to 20 while you are at full health.,Drain Life,Increases the amount of health restored to 6%.

Necromancer,Command Golem,Cooldown: 45 seconds - Active: Command the Golem to the targeted location where it collapses into a pile of 5 corpses. - Passive: Raise a Flesh Golem to fight for you. Flesh Golem deals 450% weapon damage as Physical per attack.,Flesh Golem,Active: Command the Golem to the targeted location where it collapses into a pile of 8 corpses.,Ice Golem,"Active: Command the Golem to launch an icy blast at the targeted location, freezing enemies for 3 seconds and increasing their chance to be critically struck by 10% for 10 seconds.Command Golem's damage turns into Cold.",Bone Golem,"Active: The Golem becomes a tornado of bone carrying all nearby enemies to the targeted location, stuns them for 2 seconds and deals 2000% weapon damage as Physical over the duration.",Decay Golem,Active: The Golem consumes corpses at the targeted location increasing its damage by 30% per corpse.Command Golem's damage turns into Poison.,Blood Golem,"Active: The Golem sacrifices itself healing you for 25% of your health and reconstructs at the targeted location. As the Golem reconstructs, veiny tendrils damage nearby enemies for 450% weapon damage as Physical."

Necromancer,Bone Spear,Cost: 20 Essence - Summon a piercing projectile that causes 500% weapon damage as Physical to all enemies it passes through.,Blighted Marrow,Damage is increased by 15% for each enemy Bone Spear passes through.Bone Spear's damage turns into Poison.,Teeth,Launch razor sharp teeth that deal 300% weapon damage as Physical to enemies in front of you.,Crystallization,Each enemy hit has their attack speed reduced by 20% and your attack speed is increased by 3% for 3 seconds stacking up to 10 times.Bone Spear's damage turns into Cold.,Shatter,Instead of piercing now detonates on the first enemy hit dealing 500% weapon damage as Physical to all enemies within 15 yards.,Blood Spear,Bone Spear turns into Blood Spear. Damage is increased to 650% weapon damage as Physical at the cost of 10% Health.

Necromancer,Corpse Lance,Target an enemy to summon projectiles from nearby corpses that cause 1750% weapon damage as Physical to the target.,Shredding Splinters,Each lance slows the target by 10% and reduces its damage by 6% for 10 seconds. Stacks up to 5 times.Corpse Lance's damage turns into Poison.,Brittle Touch,Enemies become brittle increasing their chance to be crit by 5% for 5 seconds each time they are hit with Corpse Lance.Corpse Lance's damage turns into Cold.,Ricochet,Corpse Lance has a 20% chance to ricochet to one additional target.Corpse Lance's damage turns into Poison.,Visceral Impact,Stuns the target for 3 seconds.,Blood Lance,Spend 2% of your total health to launch an additional lance from yourself towards the target that deals 525% weapon damage as Physical.

Necromancer,Leech,Cost: 10 Essence - Curse the target area. Cursed enemies heal the attacker for 2% of their total health when they are struck. Lasts 30 seconds.,Transmittable,Enemies that die while cursed will spread the curse to a nearby unaffected target.,Osmosis,"Each cursed enemy increases your life regeneration by 751 per second, up to 20 enemies.",Blood Flask,Whenever a cursed enemy dies your potion cooldown is reduced by 1 second.,Sanguine End,"Whenever a cursed enemy dies, you are healed for 200% of your Life per Kill.",Cursed Ground,"Now curses the ground, healing you for 1.0% of your maximum life every second for each enemy in the cursed area."

Necromancer,Corpse Explosion,Target an area exploding up to 5 corpses within 11 yards dealing 1050% weapon damage as Physical to enemies within 20 yards.,Bloody Mess,Explosion radius is increased to 25 yards.,Close Quarters,"Now explodes up to 5 corpses close to you, dealing 1575% weapon damage as Poison to enemies within 20 yards.",Shrapnel,"Corpses now explode away from you, hitting all targets in a cone.Corpse Explosion's damage turns into Poison.",Dead Cold,Freeze all enemies caught in the explosion for 2 seconds.Corpse Explosion's damage turns into Cold.,Final Embrace,"Corpses pull themselves towards the nearest enemy before exploding, but Corpse Explosion now costs 2% life per corpse."

Necromancer,Army of the Dead,"Cooldown: 120 seconds - Raise a massive skeletal army to pummel the targeted location dealing 12,000% weapon damage as Physical in a 15 yard radius.",Blighted Grasp,"Skeletal hands raise from the ground damaging enemies within 15 yards for 14,000% weapon damage as Poison. Lasts 5 seconds.",Death Valley,The skeletal army knocks all affected enemies towards the center.,Unconventional Warfare,"Skeletons will rise from the ground and attack random targets for 50,000% total weapon damage as Physical over 4 seconds.",Frozen Army,"Raise a massive skeletal army to pummel all enemies in a line dealing 12,000% weapon damage as Cold.",Dead Storm,"Cost: 20% healthRaise a storm of the dead that surround you damaging enemies for 15,500% weapon damage as Physical over 5 seconds."

Necromancer,Bone Spirit,Launch a Bone Spirit that will seek enemies. Deals 4000% weapon damage as Physical on impact. - You gain a charge every 15 seconds and can store up to 3 charges. Recharge time is reduced by 1 second for each corpse you consume.,Astral Projection,Damage is increased by 15% for each enemy that Bone Spirit passes through while seeking its target. Damage turns into Cold.,Panic Attack,Enemies within 10 yards are feared for 2 seconds when Bone Spirit detonates. Damage turns into Poison.,Poltergeist,Increases the maximum number of charges to 4.,Unfinished Business,Bone Spirit explodes dealing 1250% weapon damage as Cold to all enemies within 10 yards on detonation.,Possession,Bone Spirit will now charm the target for 10 seconds at the cost of 5% health.

Witch Doctor,Summon Zombie Dogs,Cooldown: 45 seconds - Summon 3 Zombie Dogs from the depths to fight by your side. Each dog deals 120% of your weapon damage as Physical per hit.,Rabid Dogs,Your Zombie Dogs gain an infectious bite that deals 120% of your weapon damage as Poison over 3 seconds.,Chilled to the Bone,Enemies who hit or are hit by your Zombie Dogs are Chilled for 3 seconds.,Life Link,Your Zombie Dogs absorb 10% of all damage done to you.,Burning Dogs,"Your Zombie Dogs burst into flames, burning nearby enemies for 80% of your weapon damage as Fire every second.",Leeching Beasts,Your Zombie Dogs heal you for 100% of your Life On Hit with every attack.

Witch Doctor,Corpse Spiders,This is a Signature spell. Signature spells are free to cast. - Throw a jar with 4 spiders that attack nearby enemies for a total of 576% weapon damage as Physical before dying.,Leaping Spiders,Throw a jar with jumping spiders that leap up to 25 yards to reach their enemy and attack for a total of 645% weapon damage as Poison.,Spider Queen,"Throw a jar with a spider queen that births spiderlings, dealing 2625% weapon damage as Poison over 15 seconds.You may have one spider queen summoned at a time.",Widowmakers,Throw a jar with widowmaker spiders deal a total of 700% weapon damage as Physical.,Medusa Spiders,Throw a jar with paralyzing spiders that have a 100% chance to Slow enemies by 60% with every attack.,Blazing Spiders,Throw a jar with fire spiders that return 3 Mana to you per hit.

Witch Doctor,Zombie Charger,"Cost: 150 Mana - Call forth a reckless, suicidal zombie that deals 560% weapon damage as Poison to all enemies in its path before decomposing.",Pile On,"Summon a tower of zombies that falls over, dealing 880% weapon damage as Physical to any enemies it hits.",Undeath,"If the Zombie Charger kills any enemies, it will reanimate and charge nearby enemies for 480% weapon damage as Poison. This effect can repeat up to 2 times.",Lumbering Cold,"Zombie winter bears crawl out of the ground and run in all directions, dealing 280% weapon damage as Cold to nearby enemies.",Explosive Beast,"Summon an explosive Zombie Dog that streaks toward the enemy before exploding, dealing 680% weapon damage as Fire to all enemies within 12 yards.",Zombie Bears,Summon zombie bears that stampede towards your enemy. Each bear deals 520% weapon damage as Poison to enemies in the area.

Witch Doctor,Wall of Death,Cooldown: 8 seconds - Raise a wall of zombies 28 yards wide from the ground that blocks enemies and attacks them for 1200% weapon damage as Physical over 6 seconds.,Ring of Poison,Summon a deadly ring for 5 seconds that poisons nearby enemies for 1200% weapon damage as Poison over 8 seconds.,Wall of Zombies,Increase the width of the wall to 50 yards. All enemies in front of you are knocked back behind the wall.,Surrounded by Death,Raise a circle of zombies from the ground that traps and attacks nearby enemies for 1250% weapon damage as Physical over 5 seconds.,Fire Wall,"Raise a wall of flame 40 yards wide for 8 seconds that burns enemies who walk through, causing them to take 1100% weapon damage as Fire over 4 seconds.",Communing with Spirits,"Summon a circle of spirits for 6 seconds that deals 1200% weapon damage as Cold, Chills nearby enemies by 60%, and reduces their damage dealt by 25% for 3 seconds."

Witch Doctor,Spirit Barrage,Cost: 100 Mana - Bombard an enemy with 4 spirit bolts that deal a total of 600% weapon damage as Cold.,The Spirit Is Willing,Gain 12 Mana each time Spirit Barrage hits.,Well of Souls,An additional 3 spirits seek out other enemies and deal 65% weapon damage as Fire.,Phantasm,Summon a spectre that deals 750% weapon damage as Cold over 5 seconds to all enemies within 10 yards.You can have a maximum of 3 Phantasms out at one time.,Phlebotomize,Gain 6437 Life each time Spirit Barrage hits.,Manitou,"Summon a spectre that hovers over you, unleashing spirit bolts at nearby enemies for 6000% weapon damage as Cold over 20 seconds."

Witch Doctor,Mass Confusion,"Cooldown: 60 seconds - Incite paranoia in enemies, confusing them and causing some to be Charmed and fight for you for 12 seconds.",Unstable Realm,Reduce the cooldown of Mass Confusion to 30 seconds.,Devolution,Enemies killed while Confused have a 100% chance to spawn a Zombie Dog.,Mass Hysteria,Up to 10 enemies who are not Confused become Stunned for 3 seconds.,Paranoia,All enemies in the area of Mass Confusion deal 30% less damage for 12 seconds.,Mass Hallucination,"Amid the confusion, a giant spirit rampages through enemies, dealing 400% weapon damage per second as Physical to enemies it passes through."

Witch Doctor,Gargantuan,Cooldown: 60 seconds - Summon a Gargantuan zombie to fight for you. The Gargantuan attacks for 450% of your weapon damage as Physical.,Humongoid,"The Gargantuan gains the Cleave ability, allowing its attacks to hit multiple enemies for 585% of your weapon damage as Cold.",Restless Giant,"When the Gargantuan encounters an elite enemy or is near 5 enemies, it enrages for 15 seconds gaining:  20% movement speed  35% attack speed  200% Physical damageThis effect cannot occur more than once every 45 seconds. Elite enemies include champions, rares, bosses, and other players.",Wrathful Protector,"Summon a more powerful Gargantuan to fight for you for 15 seconds. The Gargantuan's fists burn with fire, dealing 575% of your weapon damage as Fire and knocking enemies into the air.",Big Stinker,The Gargantuan is surrounded by a poison cloud that deals 135% weapon damage as Poison per second to nearby enemies.,Bruiser,"The Gargantuan gains the ability to periodically slam enemies, dealing 200% of your weapon damage as Fire and stunning them for 3 seconds."

Witch Doctor,Horrify,"Cooldown: 10 seconds - Don a spectral mask that horrifies all enemies within 18 yards, causing them to tremor in Fear and be Immobilized for 3 seconds.",Phobia,Enemies are no longer Immobilized and will instead run in Fear for 5 seconds.,Stalker,Increase movement speed by 20% for 4 seconds after casting Horrify.,Face of Death,Increase the radius of Horrify to 24 yards. ,Frightening Aspect,Gain 50% additional Armor for 8 seconds after casting Horrify.,Ruthless Terror,Gain 55 Mana for every horrified enemy.

Witch Doctor,Fetish Army,Cooldown: 120 seconds - Summon an army of 5 dagger-wielding Fetishes to fight by your side for 20 seconds. The Fetishes attack for 180% of your weapon damage as Physical.,Fetish Ambush,Each Fetish deals 680% weapon damage as Cold to any nearby enemy as it is summoned.,Devoted Following,Decrease the cooldown of Fetish Army to 90 seconds.,Legion of Daggers,Increase number of dagger-wielding Fetishes summoned by 3.,Tiki Torchers,Summon an additional 2 Fetish casters who breathe fire in a cone in front of them and deal 85% of your weapon damage as Fire.,Head Hunters,"Summon an additional 2 Hunter Fetishes that shoot blowdarts at enemies, dealing 130% of your weapon damage as Poison."

Witch Doctor,Soul Harvest,Cooldown: 12 seconds - Feed on the life force of enemies within 18 yards. Gain 3% Intelligence for 30 seconds for each affected enemy. This effect stacks up to 5 times.,Swallow Your Soul,Gain mana and increase maximum Mana by 5% for each enemy harvested.,Siphon,"Gain 32,185 Life for every harvested enemy.",Languish,Increase your Armor by 10% per harvested enemy and reduce their movement speed by 80% for 5 seconds.,Soul to Waste,Gain 5% increased movement speed for each enemy harvested.,Vengeful Spirit,Harvested enemies also take 640% weapon damage as Physical.

Witch Doctor,Grasp of the Dead,"Cost: 150 Mana - Cooldown: 8 seconds - Ghoulish hands reach out from the ground, slowing enemy movement by 60% and dealing 760% weapon damage as Physical over 8 seconds.",Unbreakable Grasp,Removes the Mana cost and increases the amount enemies are Slowed to 80%.Damage type is changed to Cold.,Groping Eels,Increase the damage done to 1360% weapon damage as Physical.,Death Is Life,Enemies who die while in the area of Grasp of the Dead have a 70% chance to summon a Zombie Dog.Damage type is changed to Poison.,Desperate Grasp,Reduce the cooldown of Grasp of the Dead to 4 seconds.Damage type is changed to Poison.,Rain of Corpses,"Corpses also fall from the sky, dealing 420% weapon damage as Physical over 3 seconds to nearby enemies."

Witch Doctor,Piranhas,Cost: 250 Mana - Cooldown: 8 seconds - Summons a pool of deadly piranhas that deals 400% weapon damage as Poison over 8 seconds.  Affected enemies will also take 15% increased damage.,Bogadile,"A giant bogadile emerges from the pool of water, Stuns, and bites a monster dealing 1100% weapon damage as Physical.",Zombie Piranhas,Turn the piranhas into zombie piranhas.  The piranhas will leap out from the pool savagely at nearby enemies,Piranhado,The pool of piranhas becomes a tornado of piranhas that lasts 4 seconds.  Nearby enemies are periodically sucked into the tornado.Increases the cooldown to 16 seconds.,Wave of Mutilation,Turn each cast into a wave of piranhas that crash forward dealing 475% weapon damage and causing all enemies affected to take 15% increased damage for 8 seconds. ,Frozen Piranhas,"Changes the damage dealt to 400% weapon damage as Cold over 8 seconds, chilling enemies for the entire duration."

Witch Doctor,Hex,Cooldown: 15 seconds - Summon a Fetish Shaman for 12 seconds that will hex groups of enemies into chickens. Hexed enemies are unable to perform offensive actions.,Hedge Magic,"The Fetish Shaman will periodically heal allies for 32,185 Life.",Jinx,Hexed enemies take 15% additional damage.,Angry Chicken,Transform into an angry chicken for up to 2 seconds that can explode for 1350% weapon damage as Poison to all enemies within 12 yards.,Toad of Hugeness,"Summon a giant toad that pulls in enemies, briefly swallows them whole, then spits them back out with a layer of goo that deals 750% weapon damage as Poison over 5 seconds, Slows them, and increases their damage taken by 15%.",Unstable Form,"Hexed enemies explode when killed, dealing 500% weapon damage as Fire to all enemies within 8 yards."

Witch Doctor,Spirit Walk,"Cooldown: 10 seconds - Leave your physical body and enter the spirit realm for 2 seconds. While in the spirit realm, your movement is unhindered. - This ability does not start its cooldown until after its effects expire.",Jaunt,Increase the duration of Spirit Walk to 3 seconds.,Honored Guest,Gain 20% of your maximum Mana when you activate Spirit Walk.,Umbral Shock,"When Spirit Walk ends, your physical body erupts for 750% weapon damage as Fire to all enemies within 10 yards.",Severance,Increase your movement speed by an additional 100% while in the spirit realm.,Healing Journey,Gain 15% of your maximum Life when you activate Spirit Walk.

Witch Doctor,Locust Swarm,"Cost: 300 Mana - Unleash a plague of locusts that swarms an enemy, dealing 1040% weapon damage as Poison over 8 seconds. - The locusts will jump to additional nearby enemies.",Pestilence,Locust Swarm has a 100% chance to jump to two additional enemies instead of one. ,Devouring Swarm,Gain 25 Mana a second while the first enemy hit by a Locust Swarm cast is still affected by that swarm. ,Cloud of Insects,Enemies affected deal 25% reduced damage.,Diseased Swarm,Enemies killed while affected by Locust Swarm leave behind a cloud of locusts that deal 750% weapon damage as Poison over 3 seconds to enemies who stand in the area.,Searing Locusts,Engulf the enemy with burning locusts that deal 1480% weapon damage as Fire over 8 seconds.

Witch Doctor,Firebomb,This is a Signature spell. Signature spells are free to cast. - Lob an explosive skull that deals 155% weapon damage as Fire to all enemies within 8 yards.,Flash Fire,"Rather than exploding for area damage, each Firebomb can bounce to up to 6 additional enemies. Damage is reduced by 15% per bounce.",Roll the Bones,The skull can bounce up to 2 times.,Fire Pit,The explosion creates a pool of fire that deals 60% weapon damage as Fire over 3 seconds.,Pyrogeist,Create a column of flame that spews fire at the closest enemy for 880% weapon damage as Fire over 6 seconds.You may have up to 3 Pyrogeists active at a time.,Ghost Bomb,"In addition to the base explosion, the skull creates a larger blast that deals an additional 30% weapon damage as Cold to all other enemies within 28 yards."

Witch Doctor,Haunt,"Cost: 50 Mana - Haunt an enemy with a spirit, dealing 4000% weapon damage as Cold over 12 seconds. If the enemy dies, the spirit will haunt another nearby enemy. - An enemy can only be affected by one Haunt at a time.",Consuming Spirit,The spirit returns 4291 Life per second.Haunt's damage turns into Fire.,Resentful Spirits,Release two spirits with every cast.,Lingering Spirit,"If there are no enemies left, the spirit will linger for up to 10 seconds looking for new enemies.",Poisoned Spirit,Haunted enemies take 20% more damage from your attacks.Haunt's damage turns into Poison.,Draining Spirit,The spirit returns 12 Mana per second.Haunt's damage turns into Physical.

